anio,prov_id,grupo_edad,sexo,proy_pob,pob_est_2010,pob_est_2022
2010,2,20-39 años,femenino,475266,484168,487711
2010,2,20-39 años,masculino,450682,454946,450632
2010,2,40-49 años,femenino,185857,187595,239774
2010,2,40-49 años,masculino,164611,164907,212440
2010,2,50-59 años,femenino,181273,183815,197626
2010,2,50-59 años,masculino,146892,148342,163778
2010,2,60-69 años,femenino,159298,161947,177234
2010,2,60-69 años,masculino,116896,118583,134881
2010,2,70-79 años,femenino,121928,122818,145588
2010,2,70-79 años,masculino,75226,75651,94649
2010,2,80+ años,femenino,101710,103481,100610
2010,2,80+ años,masculino,43137,43706,47994
2010,6,20-39 años,femenino,2390882,2386526,2616669
2010,6,20-39 años,masculino,2374948,2355157,2508060
2010,6,40-49 años,femenino,927339,923540,1237642
2010,6,40-49 años,masculino,887183,878829,1150653
2010,6,50-59 años,femenino,811446,809178,953510
2010,6,50-59 años,masculino,749592,746141,867242
2010,6,60-69 años,femenino,635955,634985,774148
2010,6,60-69 años,masculino,547287,546377,660434
2010,6,70-79 años,femenino,436264,433495,554740
2010,6,70-79 años,masculino,311545,309294,409703
2010,6,80+ años,femenino,273339,273440,315700
2010,6,80+ años,masculino,131209,131016,164197
2010,10,20-39 años,femenino,56587,55342,69568
2010,10,20-39 años,masculino,57061,55022,67484
2010,10,40-49 años,femenino,19839,19393,29756
2010,10,40-49 años,masculino,19917,19217,28320
2010,10,50-59 años,femenino,16648,16431,21346
2010,10,50-59 años,masculino,16734,16388,20057
2010,10,60-69 años,femenino,11676,11449,16782
2010,10,60-69 años,masculino,10994,10681,15424
2010,10,70-79 años,femenino,7390,7217,10466
2010,10,70-79 años,masculino,5693,5499,8744
2010,10,80+ años,femenino,4389,4286,5677
2010,10,80+ años,masculino,2409,2316,3212
2010,14,20-39 años,femenino,514404,507593,590657
2010,14,20-39 años,masculino,510757,498838,566330
2010,14,40-49 años,femenino,194566,191413,267414
2010,14,40-49 años,masculino,185136,181180,251147
2010,14,50-59 años,femenino,173796,170765,203970
2010,14,50-59 años,masculino,159777,156517,187612
2010,14,60-69 años,femenino,142743,141195,171581
2010,14,60-69 años,masculino,121542,119457,146956
2010,14,70-79 años,femenino,97928,96107,125908
2010,14,70-79 años,masculino,70161,68845,92655
2010,14,80+ años,femenino,60672,59593,69646
2010,14,80+ años,masculino,29155,28366,36639
2010,18,20-39 años,femenino,152099,148775,197070
2010,18,20-39 años,masculino,144838,138900,184522
2010,18,40-49 años,femenino,55919,54902,76986
2010,18,40-49 años,masculino,52960,51230,71224
2010,18,50-59 años,femenino,46871,46132,60569
2010,18,50-59 años,masculino,45808,44558,54693
2010,18,60-69 años,femenino,32062,31320,48537
2010,18,60-69 años,masculino,30149,29139,43737
2010,18,70-79 años,femenino,20508,20115,29794
2010,18,70-79 años,masculino,15473,14897,24149
2010,18,80+ años,femenino,10929,10648,15796
2010,18,80+ años,masculino,6201,5930,8626
2010,22,20-39 años,femenino,162661,159894,189918
2010,22,20-39 años,masculino,156182,152280,176432
2010,22,40-49 años,femenino,57024,56286,74048
2010,22,40-49 años,masculino,54585,53574,68146
2010,22,50-59 años,femenino,46895,46586,55057
2010,22,50-59 años,masculino,46393,46076,49618
2010,22,60-69 años,femenino,30197,29566,42846
2010,22,60-69 años,masculino,28363,27792,38355
2010,22,70-79 años,femenino,19348,19108,24145
2010,22,70-79 años,masculino,14901,14645,18957
2010,22,80+ años,femenino,9522,9339,12530
2010,22,80+ años,masculino,5387,5221,6483
2010,26,20-39 años,femenino,82229,81868,92410
2010,26,20-39 años,masculino,83877,84211,90670
2010,26,40-49 años,femenino,29772,29538,44067
2010,26,40-49 años,masculino,29672,29708,42441
2010,26,50-59 años,femenino,23882,23806,30700
2010,26,50-59 años,masculino,23664,23880,28924
2010,26,60-69 años,femenino,15826,15686,23445
2010,26,60-69 años,masculino,14818,14908,21221
2010,26,70-79 años,femenino,9450,9358,14289
2010,26,70-79 años,masculino,7371,7362,11777
2010,26,80+ años,femenino,5019,4955,7728
2010,26,80+ años,masculino,2895,2882,4578
2010,30,20-39 años,femenino,184423,181868,216233
2010,30,20-39 años,masculino,182937,180087,209003
2010,30,40-49 años,femenino,71491,70409,96007
2010,30,40-49 años,masculino,69152,68190,91742
2010,30,50-59 años,femenino,63047,62229,75121
2010,30,50-59 años,masculino,59561,59068,70496
2010,30,60-69 años,femenino,49040,48478,62750
2010,30,60-69 años,masculino,43292,42986,54690
2010,30,70-79 años,femenino,34040,33533,43688
2010,30,70-79 años,masculino,23658,23320,33081
2010,30,80+ años,femenino,20414,20075,24813
2010,30,80+ años,masculino,9110,8892,12079
